CS_ID,District,Upazila,union,lon,lat,Shelter Name (English),DRRO Capacity,go_code,area,latitude,longitude,male_pop,female_pop,literacy_rate
cs_26,cox's bazar,teknaf,baharchhara,92.18797916,21.0158225,jahajpura govt.primary school,1500.0,15,3783,21.0611,92.1526,14481,14324,22.6
cs_28,cox's bazar,teknaf,nhilla,92.22556311,21.06049774,jhimonkhali govt. primary school,2500.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_29,cox's bazar,teknaf,teknaf,92.28611297,20.84561688,kachubania ideal govt. primary school,1000.0,63,25018,20.8667,92.3,24076,23632,31.1
cs_3,cox's bazar,teknaf,nhilla,92.25167188,21.01266298,fulerdail cyclone center,2000.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_30,cox's bazar,teknaf,nhilla,92.21703333,21.07753333,kanzarpara govt. primary school,2500.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_31,cox's bazar,teknaf,sabrang,92.30780965,20.80243577,katabania govt. primary school,700.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_32,cox's bazar,teknaf,whykong,92.18454989,21.13264278,katakhali govt. primary school-2 nos.,1000.0,79,31582,21.0998,92.1674,31582,25567,28.0
cs_33,cox's bazar,teknaf,whykong,92.165616,21.138116,kerontoli govt. primary school,1500.0,79,31582,21.0998,92.1674,31582,25567,28.0
cs_34,cox's bazar,teknaf,nhilla,92.24575171,21.0417093,kharang khali govt. primary school,2500.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_35,cox's bazar,teknaf,teknaf,92.28121381,20.84356568,khonkarpara govt. primary school,1000.0,63,25018,20.8667,92.3,24076,23632,31.1
cs_36,cox's bazar,teknaf,teknaf,92.26719075,20.87260774,langurbil govt. primary school,2000.0,63,25018,20.8667,92.3,24076,23632,31.1
cs_37,cox's bazar,teknaf,nhilla,92.2503772,20.96578735,leda govt. primary school,1092.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_38,cox's bazar,teknaf,teknaf,92.25281704,20.88892041,lomboripara govt. primary school,1900.0,63,25018,20.8667,92.3,24076,23632,31.1
cs_4,cox's bazar,teknaf,baharchhara,92.1540931,21.06517033,jabbaria sahin sharif govt. primary school,2500.0,15,3783,21.0611,92.1526,14481,14324,22.6
cs_40,cox's bazar,teknaf,teknaf,92.27961004,20.85597381,moheshkhalia para govt. primary school,2000.0,63,25018,20.8667,92.3,24076,23632,31.1
cs_41,cox's bazar,teknaf,sabrang,92.29262888,20.83087467,mondardail govt. primary school,2000.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_42,cox's bazar,teknaf,nhilla,92.24060809,21.03209442,naikong khai govt.primary school,2500.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_43,cox's bazar,teknaf,sabrang,92.3145951,20.80837016,naya para govt.primary school,2500.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_44,cox's bazar,teknaf,nhilla,92.23326667,21.05155,nayabazar govt. primary school,2500.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_45,cox's bazar,teknaf,nhilla,92.25478026,20.99811186,nila burmise govt. primary school,1092.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_46,cox's bazar,teknaf,nhilla,92.24255,21.01898333,nila girl’s high school,2500.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_47,cox's bazar,teknaf,nhilla,92.24017582,21.0335154,nila moulovi bazaar jamiria darululom madrasa,2500.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_48,cox's bazar,teknaf,baharchhara,92.23129253,20.91505399,noakhali para govt.primary school,700.0,15,3783,21.0611,92.1526,14481,14324,22.6
cs_5,cox's bazar,teknaf,baharchhara,92.21573874,20.94207159,kossopia govt. primay school,2500.0,15,3783,21.0611,92.1526,14481,14324,22.6
cs_50,cox's bazar,teknaf,nhilla,92.23726112,21.01492742,pankhali govt. primary school,1092.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_51,cox's bazar,teknaf,teknaf,92.24054472,20.90365193,rajor chora govt. primary school,1500.0,63,25018,20.8667,92.3,24076,23632,31.1
