lat_center,lon_center,lat_bin,lon_bin,grid_id,geometry,union,landcover,elev,slope,total_pop,pop_cell,dist_to_coast_km,hazard_score,hazard_class
21.12488755,92.18752886479558,51,27,51_27,POINT (92.18752886479558 21.12488755),whykong,10,-32768.0,-32768.0,50863,43,1.3961631808000377,0.4173338477165471,2
21.12488755,92.19592455357107,51,28,51_28,POINT (92.19592455357107 21.12488755),whykong,10,-32768.0,-32768.0,50863,455,0.4811877034110709,0.675133879181599,1
21.13388055,92.08678059948971,52,15,52_15,POINT (92.08678059948971 21.13388055),jalia palong,40,-32768.0,-32768.0,47656,278,0.1054055433536405,0.9046453638780793,1
21.13388055,92.0951762882652,52,16,52_16,POINT (92.0951762882652 21.13388055),whykong,10,-32768.0,-32768.0,50863,31,0.8682518211498415,0.5352597485410377,2
21.13388055,92.10357197704069,52,17,52_17,POINT (92.10357197704069 21.13388055),whykong,10,-32768.0,-32768.0,50863,333,1.5127254549934472,0.39797423869477533,3
21.13388055,92.11196766581618,52,18,52_18,POINT (92.11196766581618 21.13388055),whykong,10,-32768.0,-32768.0,50863,0,2.200324864910229,0.31246827813152356,3
21.13388055,92.12036335459166,52,19,52_19,POINT (92.12036335459166 21.13388055),whykong,10,-32768.0,-32768.0,50863,2919,2.836219148391924,0.2606733247810367,3
21.13388055,92.12875904336715,52,20,52_20,POINT (92.12875904336715 21.13388055),whykong,10,-32768.0,-32768.0,50863,731,3.6033045662863645,0.2172352460282098,4
21.13388055,92.13715473214263,52,21,52_21,POINT (92.13715473214263 21.13388055),whykong,10,-32768.0,-32768.0,50863,766,4.333142818255275,0.18750669803497738,4
21.13388055,92.14555042091814,52,22,52_22,POINT (92.14555042091814 21.13388055),whykong,10,-32768.0,-32768.0,50863,442,4.435013493665576,0.18399218349052576,4
21.13388055,92.15394610969362,52,23,52_23,POINT (92.15394610969362 21.13388055),whykong,10,-32768.0,-32768.0,50863,234,3.778725088802233,0.2092608345148906,4
21.13388055,92.16234179846911,52,24,52_24,POINT (92.16234179846911 21.13388055),whykong,40,-32768.0,-32768.0,50863,2985,3.259622232349781,0.23476260228089743,4
21.13388055,92.1707374872446,52,25,52_25,POINT (92.1707374872446 21.13388055),whykong,10,-32768.0,-32768.0,50863,6571,2.9474684710587624,0.2533269125090154,3
21.13388055,92.17913317602007,52,26,52_26,POINT (92.17913317602007 21.13388055),whykong,10,-32768.0,-32768.0,50863,20,2.1216414157401338,0.3203442890518232,3
21.13388055,92.18752886479558,52,27,52_27,POINT (92.18752886479558 21.13388055),whykong,80,-32768.0,-32768.0,50863,1790,1.206665938349618,0.4531723550089813,2
